Tijdstempel,Achternaam Kind,Voornaam Kind,Groep,Aanwezigheid van het kind [Woensdag],Aanwezigheid van het kind [Donderdag],Aanwezigheid van het kind [Vrijdag],Aanwezigheid van het kind [Zaterdag],"Geef hier eventuele allergieën of dieetwensen (bijv. vegetarisch, veganistisch) van je kind aan:",Opmerkingen:,Dit is mijn eerste NTC zomerkamp,Ik blijf slapen op het kamp:,Opmerkingen overnachten:,Mijn beschikbaarheid als hulpouder is: [07:00 - 07:30],Mijn beschikbaarheid als hulpouder is: [07:30 - 09:00],Mijn beschikbaarheid als hulpouder is: [09:00 - 13:00],Mijn beschikbaarheid als hulpouder is: [13:00 - 15:30],Mijn beschikbaarheid als hulpouder is: [15:30 - 18:00],Mijn beschikbaarheid als hulpouder is: [18:00 - 21:00],Opmerkingen beschikbaarheid:,Heb je een auto beschikbaar (om bijvoorbeeld leerkrachten van het station op te halen),Eventuele voedselallergieën Ouder:,Naam Ouder,E-mail Ouder,Telefoonnummer Ouder,Chat apps,Klassenfoto,Foto's en video's tijdens het zomerkamp.,Opmerkingen foto's en video's,E-mailadres,Opmerkingen chat apps
2026-04-23 15:20:00.691000,Sestig,Sarah,Groep 3b,"Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten",,,Nee,"Woensdagavond, Donderdagavond, Vrijdagavond",,"Woensdag, Donderdag, Vrijdag, Zaterdag",Zaterdag,,,"Donderdag, Vrijdag",,,Nee,,Evy van Venrooy,evy@ntc.fi,04570000000,Ik gebruik liever Whatsapp,Mijn kind mag deelnemen aan een klassenfoto,Alleen op de website en/of drukmateriaal,,,
2026-04-23 15:21:18.207000,Sestig,Sara,Groep 1,"Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten",,,Nee,"Woensdagavond, Donderdagavond, Vrijdagavond",,,,,,,,,Nee,,Evy van Venrooy,evy@ntc.fi,04570000000,Ik gebruik liever Whatsapp,Mijn kind mag deelnemen aan een klassenfoto,Alleen op de website en/of drukmateriaal,,,
2026-04-23 15:54:09.663000,Eerden,Rosalie,Groep 8,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,Vegetarisch ,,Nee,Ik blijf niet slapen,,,,,,,,,Nee,,,,,,Mijn kind mag deelnemen aan een klassenfoto,Alleen op de website en/of drukmateriaal,,,
2026-04-23 15:55:37.711000,van de Leemput,Kyara,Groep 4,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,Vegetarisch ,,Nee,Ik blijf niet slapen,,,,,,,,,Nee,,,,0503000000,Ik gebruik liever Whatsapp,Mijn kind mag deelnemen aan een klassenfoto,Alleen op de website en/of drukmateriaal,,,
2026-04-23 16:01:06.760000,Ligtvoet,Kiki,Groep 7,"Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten",geen,,Nee,Ik blijf niet slapen,,,,"Woensdag, Donderdag, Vrijdag","Woensdag, Donderdag, Vrijdag","Woensdag, Donderdag, Vrijdag","Woensdag, Donderdag, Vrijdag",,Nee,geen,Hidde,hidde@ntc.fi,+31600000000,Ik gebruik liever Whatsapp,Mijn kind mag deelnemen aan een klassenfoto,"Op de website, in drukmateriaal en op social media (Instagram en Facebook)",,,
2026-04-23 16:02:24.782000,Coolen,Maartje,Groep 3a,"Aanwezig tijdens de lessen, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig bij het avondeten, Overnacht op het kamp",-,,Nee,"Woensdagavond, Donderdagavond, Vrijdagavond",,,,"Woensdag, Donderdag, Vrijdag, Zaterdag",,,,,Nee,-,Amélie,amelie@ntc.fi,0445000000,Allebij goed,Mijn kind mag deelnemen aan een klassenfoto,Mijn kind mag niet herkenbaar in beeld komen,,,
2026-04-23 16:07:32.271000,Gepa van Bourgondië,Sami,Groep 4,,,,,,,Nee,,,,,,,,,,,,,,,,Mijn kind mag deelnemen aan een klassenfoto,"Op de website, in drukmateriaal en op social media (Instagram en Facebook)",,,
2026-04-23 17:04:19.867000,Rehorst,Job,Groep 3b,"Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen",,,Nee,"Woensdagavond, Donderdagavond, Vrijdagavond",,"Donderdag, Vrijdag, Zaterdag","Donderdag, Vrijdag, Zaterdag",,,"Woensdag, Donderdag, Vrijdag","Woensdag, Donderdag, Vrijdag",,Nee,,Mads,mads@ntc.fi,050-0000000,Allebij goed,Mijn kind mag deelnemen aan een klassenfoto,"Op de website, in drukmateriaal en op social media (Instagram en Facebook)",,,
2026-04-23 17:12:32.312000,Huurdeman,Milou,Groep 1,,,,,,,Ja,,,,,,,,,,,,,,,,,,,,
2026-04-23 17:55:28.327000,van Beeck,Raf,Groep 1,"Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp",Vegetarisch + vis,,Ja,"Wij komen al op dinsdagavond, Woensdagavond, Donderdagavond, Vrijdagavond",,"Woensdag, Donderdag, Vrijdag, Zaterdag",,,,"Woensdag, Donderdag, Vrijdag, Zaterdag","Woensdag, Donderdag, Vrijdag, Zaterdag",,Ja,"Geen, maar ook vegetarisch+vis dieet",Sylvie van Stralen,sylvie@ntc.fi,+31600000000,Ik gebruik liever Whatsapp,Mijn kind mag deelnemen aan een klassenfoto,Mijn kind mag niet herkenbaar in beeld komen,,,
